synth_file,n_synth_rows,n_real_rows,n_features,mean_tvd_1way,std_tvd_1way,mean_tvd_2way,std_tvd_2way,lr_accuracy,lr_f1_macro,baseline_accuracy,baseline_f1_macro
comb_run_10_eps100.00_run2_train3458_bins10.csv,3458,4323,979,0.561655869782413,0.014054843698400453,0.597650826539243,0.028590401276672846,0.8994219653179191,0.8709212693703995,0.9930635838150289,0.9943221856335331
comb_run_10_eps100.00_run3_train3458_bins10.csv,3458,4323,979,0.5613288756647626,0.01393376534413784,0.5970486937647449,0.028395797211648647,0.8901734104046243,0.8697051776862521,0.9930635838150289,0.9943221856335331
comb_run_10_eps1000.00_run1_train3458_bins10.csv,3458,4323,979,0.5612842721310993,0.013788143229772645,0.5969038593899524,0.02846088047002852,0.9052023121387284,0.8836747938079865,0.9930635838150289,0.9943221856335331
comb_run_10_eps1000.00_run2_train3458_bins10.csv,3458,4323,979,0.5613681622209031,0.013884820768894206,0.5977153738974801,0.027990232560572374,0.8901734104046243,0.8695565180372309,0.9930635838150289,0.9943221856335331
comb_run_10_eps1000.00_run3_train3458_bins10.csv,3458,4323,979,0.5617465537879404,0.013685068994773078,0.5977990594093069,0.028229672009376244,0.9086705202312139,0.8866699878223926,0.9930635838150289,0.9943221856335331
comb_run_4_all_eps0.10_run1_train3000_bins4.csv,3000,4323,979,0.49646359697529685,0.127052912095719,0.7667248855623424,0.06847920549911059,0.04161849710982659,0.03641622444067053,0.9930635838150289,0.9943221856335331
comb_run_4_all_eps0.10_run2_train3000_bins4.csv,3000,4323,979,0.4915818841519705,0.12962154034142193,0.7652332125219478,0.06804338081002183,0.15260115606936417,0.06599505938422628,0.9930635838150289,0.9943221856335331
comb_run_4_all_eps0.10_run3_train3000_bins4.csv,3000,4323,979,0.488588287651602,0.13130674782021307,0.7679658698975028,0.06486774351530808,0.11907514450867052,0.039508802572869504,0.9930635838150289,0.9943221856335331
comb_run_4_all_eps1.00_run1_train3000_bins4.csv,3000,4323,979,0.2777810901473152,0.033937151012156726,0.536252753580452,0.05058242295146251,0.6947976878612717,0.5043656558894348,0.9930635838150289,0.9943221856335331
comb_run_4_all_eps1.00_run2_train3000_bins4.csv,3000,4323,979,0.2786385768971676,0.034051794667388266,0.5405775741177732,0.04910702470352427,0.5734104046242775,0.4059313960210099,0.9930635838150289,0.9943221856335331
comb_run_4_all_eps1.00_run3_train3000_bins4.csv,3000,4323,979,0.2781418492955347,0.03355529248146525,0.5410165553892912,0.050228101941200705,0.6462427745664739,0.4506030743144822,0.9930635838150289,0.9943221856335331
comb_run_4_all_eps10.00_run1_train3000_bins4.csv,3000,4323,979,0.25052047189451765,5.450983725448275e-17,0.28836611969565834,0.014646645680588584,0.8901734104046243,0.8146722056345542,0.9930635838150289,0.9943221856335331
comb_run_4_all_eps10.00_run2_train3000_bins4.csv,3000,4323,979,0.25052047189451765,5.5141357227211495e-17,0.28737473456583157,0.014674109551508326,0.923699421965318,0.9006584376262335,0.9930635838150289,0.9943221856335331
